datum;gremium;top;titel;hinweis;abstimmungshinweis
2026-03-05;Marktgemeinderat;3;Oberstaufen Tourismus Marketing GmbH (OTM): Wirtschafts-, Finanz- und Stellenplan 2026 - Beschlussfassung (beschließend);03.2026 – Haushalt 2026 beschlossen Der Marktgemeinderat entschied in seiner Sitzung vo m 05.03.2026 zunächst über die Wirtschaftspläne der gemeindlichen GmbH’s und des Tourismus Eigenbetrieb Oberstaufen (TEO) sowie über den Haushaltsplan 2026 der Marktgemeinde selbst.;
2026-03-05;Marktgemeinderat;4;Tourismus Eigenbetrieb Oberstaufen (TEO): Wirtschaftsplan 2026 - Beschlussfassung (beschließend);03.2026 – Haushalt 2026 beschlossen Der Marktgemeinderat entschied in seiner Sitzung vo m 05.03.2026 zunächst über die Wirtschaftspläne der gemeindlichen GmbH’s und des Tourismus Eigenbetrieb Oberstaufen (TEO) sowie über den Haushaltsplan 2026 der Marktgemeinde selbst.;
2026-03-05;Marktgemeinderat;5;Genehmigung Haushaltsplan mit Haushaltssatzung 2026 samt Anlagen - Beschlussfassung (beschließend);03.2026 – Haushalt 2026 beschlossen Der Marktgemeinderat entschied in seiner Sitzung vo m 05.03.2026 zunächst über die Wirtschaftspläne der gemeindlichen GmbH’s und des Tourismus Eigenbetrieb Oberstaufen (TEO) sowie über den Haushaltsplan 2026 der Marktgemeinde selbst.;
2026-03-05;Marktgemeinderat;6;Tourismus Eigenbetrieb Oberstaufen (TEO) (beschließend);2026 zunächst über die Wirtschaftspläne der gemeindlichen GmbH’s und des Tourismus Eigenbetrieb Oberstaufen (TEO) sowie über den Haushaltsplan 2026 der Marktgemeinde selbst. Aquaria Erlebnisbad-Betriebs GmbH: Wirtschafts-, Finanz- und Stellenplan 2026 Die Aquaria Erlebnisbad-Betriebs GmbH legte den Wir tschaftsplan 2026 vor.;
2026-03-05;Marktgemeinderat;6.1;Bekanntmachung des kaufmännischen Jahresabschlusses 2021 / kamerale Jahresrechnung 2021 - Beschlussfassung (beschließend);Genehmigung des Haushaltsplanes und der Haushaltssatzung des Marktes Oberstaufen für das Jahr 2026 In zwei Sitzungen des Haupt- und Finanzausschusses (kameraler Haushalt des Marktes Oberstaufen) und in einer Sitzung des Tourismusauss chusses (kaufmännischer Erfolgs- und Vermögensplan des Tourismus Eigenbetrieb Oberstaufen - TEO) sowie in internen Vorgesprächen wurde der Haushaltsplan 2026 mit Finanzplanung 2027 – 202;
2026-03-05;Marktgemeinderat;6.2;Bekanntmachung des kaufmännischen Jahresabschlusses 2022 / kamerale Jahresrechnung 2022 - Beschlussfassung (beschließend);Genehmigung des Haushaltsplanes und der Haushaltssatzung des Marktes Oberstaufen für das Jahr 2026 In zwei Sitzungen des Haupt- und Finanzausschusses (kameraler Haushalt des Marktes Oberstaufen) und in einer Sitzung des Tourismusauss chusses (kaufmännischer Erfolgs- und Vermögensplan des Tourismus Eigenbetrieb Oberstaufen - TEO) sowie in internen Vorgesprächen wurde der Haushaltsplan 2026 mit Finanzplanung 2027 – 202;
2026-03-05;Marktgemeinderat;6.3;Auftragsvergabe Infopoint Buchenegger Wasserfälle - Beschlussfassung (beschließend);Unter folgendem Link ist der Haushaltsplan 2026 mit Finanzplanung 2027 – 2029 visuell abruf- bar: Link: https://app.kslplus.de/?kunde=4&gemeinde=1&jahr=2026&plantyp=1&planstufe=6 Der Verwaltungshaushalt 2026 weist laufende Einnahmen von 32.;
2026-03-05;Marktgemeinderat;7;Jahresrechnung 2024 des Marktes Oberstaufen (beschließend);Genehmigung des Haushaltsplanes und der Haushaltssatzung des Marktes Oberstaufen für das Jahr 2026 In zwei Sitzungen des Haupt- und Finanzausschusses (kameraler Haushalt des Marktes Oberstaufen) und in einer Sitzung des Tourismusauss chusses (kaufmännischer Erfolgs- und Vermögensplan des Tourismus Eigenbetrieb Oberstaufen - TEO) sowie in internen Vorgesprächen wurde der Haushaltsplan 2026 mit Finanzplanung 2027 – 202;
2026-03-05;Marktgemeinderat;7.2;Feststellung und Entlastung - Beschlussfassung (beschließend);Unter folgendem Link ist der Haushaltsplan 2026 mit Finanzplanung 2027 – 2029 visuell abruf- bar: Link: https://app.kslplus.de/?kunde=4&gemeinde=1&jahr=2026&plantyp=1&planstufe=6 Der Verwaltungshaushalt 2026 weist laufende Einnahmen von 32.;
2026-03-05;Marktgemeinderat;8;Fortführung Renaturierung Konstanzer Ach, BAII - Beschlussfassung (beschließend);Unter folgendem Link ist der Haushaltsplan 2026 mit Finanzplanung 2027 – 2029 visuell abruf- bar: Link: https://app.kslplus.de/?kunde=4&gemeinde=1&jahr=2026&plantyp=1&planstufe=6 Der Verwaltungshaushalt 2026 weist laufende Einnahmen von 32.;
2026-03-05;Marktgemeinderat;9.2;Straßensanierungsmaßnahme 2026 - Beschlussfassung (beschließend);03.2026 – Haushalt 2026 beschlossen Der Marktgemeinderat entschied in seiner Sitzung vo m 05.03.2026 zunächst über die Wirtschaftspläne der gemeindlichen GmbH’s und des Tourismus Eigenbetrieb Oberstaufen (TEO) sowie über den Haushaltsplan 2026 der Marktgemeinde selbst.;
2025-12-11;Marktgemeinderat;2;Kurhaus Oberstaufen: Beschlussfassung zum weiteren Vorgehen auf Basis der Standortanalyse (beschließend);Dezember 2025 Kurhaus Oberstaufen: Beschlussfassung zum weiteren Vorgehen auf Basis der Standortanalyse In der letzten Sitzung des Marktgemeinderates am 13 . November 2025 wurden die Fraktionen nach der Präsentation der Architektur- u nd Stadtplaner und Diskussion in der Runde darum gebeten, in ihren Fraktionen das Th ema Kurhaus Oberstaufen zu diskutieren, damit in der Dezember-Sitzung ein ents prechender Grundsatzb;
2025-12-11;Marktgemeinderat;3;MOBIL PASS ALLGÄU - Verlängerung der Pilotphase bis 31.12.2027 - Anpassung Beitrag - Beschlussfassung (beschließend);MOBIL PASS ALLGÄU – Verlängerung der Pilotphase bis 31.12.2027 – Anpassung Beitrag In der Sitzung der Vollversammlung des MOBIL PASS ALLGÄU am 31. Oktober 2025, die sich aus den 17 teilnehmenden Kommunen, der Allgäu-Walser-Service GmbH als Systembetreiber, der WIIF GmbH für die Projektleitu ng, weiteren zentralen Projektpartnern wie dem Landkreis Oberallgäu – Sac hgebiet ÖPNV, den teilnehmenden Verkehrsverbünde und -;
2025-12-11;Marktgemeinderat;4.1;"Aufhebung des Bebauungsplanes ""Am Staufenhang"" - Beschlussfassung (beschließend)";Dezember 2025 Kurhaus Oberstaufen: Beschlussfassung zum weiteren Vorgehen auf Basis der Standortanalyse In der letzten Sitzung des Marktgemeinderates am 13 . November 2025 wurden die Fraktionen nach der Präsentation der Architektur- u nd Stadtplaner und Diskussion in der Runde darum gebeten, in ihren Fraktionen das Th ema Kurhaus Oberstaufen zu diskutieren, damit in der Dezember-Sitzung ein ents prechender Grundsatzb;
2025-12-11;Marktgemeinderat;4.2;"Aufhebung des Bebauungsplanes ""Pfalzen III"" - Beschlussfassung (beschließend)";Dezember 2025 Kurhaus Oberstaufen: Beschlussfassung zum weiteren Vorgehen auf Basis der Standortanalyse In der letzten Sitzung des Marktgemeinderates am 13 . November 2025 wurden die Fraktionen nach der Präsentation der Architektur- u nd Stadtplaner und Diskussion in der Runde darum gebeten, in ihren Fraktionen das Th ema Kurhaus Oberstaufen zu diskutieren, damit in der Dezember-Sitzung ein ents prechender Grundsatzb;
2025-12-11;Marktgemeinderat;4.3;"Aufhebung des Bebauungsplanes ""Pfalzen V"" - Beschlussfassung (beschließend)";Dezember 2025 Kurhaus Oberstaufen: Beschlussfassung zum weiteren Vorgehen auf Basis der Standortanalyse In der letzten Sitzung des Marktgemeinderates am 13 . November 2025 wurden die Fraktionen nach der Präsentation der Architektur- u nd Stadtplaner und Diskussion in der Runde darum gebeten, in ihren Fraktionen das Th ema Kurhaus Oberstaufen zu diskutieren, damit in der Dezember-Sitzung ein ents prechender Grundsatzb;
2025-12-11;Marktgemeinderat;4.4;Aufstellungsbeschluss für Bebauungsplan Oberstaufen Ortsmitte (Festlegung des Geltungsbereiches zur Sicherung des Gewerbes und Einzelhandels) - Beschlussfassung (informativ);Bauleitplanung Aufhebung des Bebauungsplanes „Am Staufenhang“ Wie bereits mehrfach beraten, besteht die Notwendig keit, dass insbesondere alte Bebauungspläne, die ihren planerischen Bedarf verlo ren haben, aufzuheben sind. Nachdem man bei zwei Bebauungsplänen in Wiedemannsd orf bereits das Aufhebungsverfahren abgeschlossen hat, schlägt die Verwaltung vor, dass ebenso der Bebauungsplan „Staufenhang“ aus dem Jahr 1993 ;
2025-12-11;Marktgemeinderat;4.5;Erlass einer Veränderungssperre zur Sicherung des Gewerbes und Einzelhandels im Zuge des Bebauungsplanes Oberstaufen Ortsmitte - Beschlussfassung (beschließend);Der Marktgemeinderat beschloss einstimmig die Sanierung des Kurhauses anzugehen und hierbei die oben dargestellten Ziele und Ergebnisse aus der Standortanalyse unter dem Vorbehalt der Finanzierbarkeit umzusetzen. Die weiteren Anregungen aus Marktgemeinderat und Verwaltung sind ebenfalls zu b erücksichtigen.;einstimmig
2025-12-11;Marktgemeinderat;5;"Darlehen für die Energiegesellschaft Oberallgäu (EGOA GmbH); Projekt Carport-PV-Anlage Klinik Immenstadt - Beschlussfassung (beschließend)";In der Diskussion stellte sich heraus, dass der Mar ktgemeinderat klar hinter dem Projekt Kurhaus Oberstaufen steht. Für die weiteren Beschlüsse sind generell Kostenaufstellungen gewünscht, besonders für die Th emen Altlasten und das Brandschutzkonzept. Außerdem wurde der Vorbehalt de r Finanzierbarkeit mit in den Beschluss aufgenommen.;
2025-11-13;Marktgemeinderat;2;Neufassung Kurbeitragssatzung - Beschlussfassung (beschließend);November 2025 Neufassung Kurbeitragssatzung Der Marktgemeinderat beschloss einstimmig die Neufassung der Kurbeitragssatzung. Diese tritt zum 1. Dezember 2025 in Kraft. Die Neufassung hängt an der Amtstafel vor dem Rathaus aus und ist auf unserer Internetseite www.;einstimmig
2025-11-13;Marktgemeinderat;3;"Antrag Pfarrgemeinde Maria Schnee Aach; Zuschuss Sanierung Kirche Aach - Beschlussfassung (beschließend)";"Antrag Pfarrgemeinde Maria Schnee Aach; Zuschuss Sanierung Kirche Aach Mit Antrag vom 02.10.2025 beantragte die Pfarrgemeinde Maria Schnee in Aach einen Zuschuss für die Sanierung der Kirchendecke sowie d ie Beseitigung der statischen Mängel im Turm.";
2025-11-13;Marktgemeinderat;4;Erfrischungsgeld Wahlhelfer allgemeine Gemeinde- und Landkreiswahlen am 08.03.2026 - Beschlussfassung (beschließend);Aus der Sitzung des Marktgemeinderates am 13. November 2025 Neufassung Kurbeitragssatzung Der Marktgemeinderat beschloss einstimmig die Neufassung der Kurbeitragssatzung. Diese tritt zum 1. Dezember 2025 in Kraft.;einstimmig
2025-11-13;Marktgemeinderat;5;Ersatzbeschaffung Persönlicher Schutzausrüstung (PSA) für die Feuerwehr Oberstaufen - Beschlussfassung (beschließend);Ersatzbeschaffung Persönlicher Schutzausrüstung (PS A) für die Feuerwehr Oberstaufen Die Einsatzkleidung der Feuerwehr Oberstaufen ist in die Jahre gekommen und zeigt auch kein einheitliches Bild mehr. Der Marktgemeind erat beschloss deshalb auf Vorschlag der Feuerwehr und der Verwaltung einstimm ig die Beschaffung von 65 neuen Feuerwehranzügen für die Feuerwehr Oberstaufen mit einem Gesamtvolumen von 97.;
2025-11-13;Marktgemeinderat;6;Freibad Thalkirchdorf (beschließend);Freibad Thalkirchdorf Auftragsvergabe Architektenleistung Der Marktgemeinderat wurde darüber informiert, dass in dem durchgeführten Vergabeverfahren für die Architektenleistung das Bü ro Alpstein aus Immenstadt mit 27,76 Punkten als Sieger hervorging und somit diese m der Zuschlag zu erteilen war.;
2025-11-13;Marktgemeinderat;6.1;Auftragsvergabe Architektenleistung - informativ (informativ);Freibad Thalkirchdorf Auftragsvergabe Architektenleistung Der Marktgemeinderat wurde darüber informiert, dass in dem durchgeführten Vergabeverfahren für die Architektenleistung das Bü ro Alpstein aus Immenstadt mit 27,76 Punkten als Sieger hervorging und somit diese m der Zuschlag zu erteilen war.;
2025-11-13;Marktgemeinderat;6.2;"Teilnahme am Bundesprogramm "" Sanierung kommunaler Sportstätten"" - Beschlussfassung";"Antrag Pfarrgemeinde Maria Schnee Aach; Zuschuss Sanierung Kirche Aach Mit Antrag vom 02.10.2025 beantragte die Pfarrgemeinde Maria Schnee in Aach einen Zuschuss für die Sanierung der Kirchendecke sowie d ie Beseitigung der statischen Mängel im Turm.";
2025-11-13;Marktgemeinderat;7;Kläranlage Oberstaufen: Auftragsvergabe Modernisierung Schaltschränke und Elektroverteilung - Beschlussfassung (beschließend);Freibad Thalkirchdorf Auftragsvergabe Architektenleistung Der Marktgemeinderat wurde darüber informiert, dass in dem durchgeführten Vergabeverfahren für die Architektenleistung das Bü ro Alpstein aus Immenstadt mit 27,76 Punkten als Sieger hervorging und somit diese m der Zuschlag zu erteilen war.;
2025-10-09;Marktgemeinderat;3;Oberstaufen Tourismus Marketing GmbH (OTM): Jahresabschluss 2024 - Beschlussfassung (beschließend);Oktober 2025 Oberstaufen Tourismus Marketing GmbH (OTM): Jahresabschluss 2024 Der Jahresabschluss 2024 wurde von der Buchhaltung der OTM aufgestellt und von der WISO Treuhand & Revision GmbH, Wirtschaftsprüfe r Alexander Schwendinger, geprüft und testiert.;
2025-10-09;Marktgemeinderat;4;Aquaria Erlebnisbad-Betriebs GmbH: Jahresabschluss 2024 - Beschlussfassung (beschließend);Oktober 2025 Oberstaufen Tourismus Marketing GmbH (OTM): Jahresabschluss 2024 Der Jahresabschluss 2024 wurde von der Buchhaltung der OTM aufgestellt und von der WISO Treuhand & Revision GmbH, Wirtschaftsprüfe r Alexander Schwendinger, geprüft und testiert.;
2025-10-09;Marktgemeinderat;5;Ortswärme Oberstaufen Verwaltungs GmbH: Feststellung des Jahresabschlusses 2024 mit Entlastung der Geschäftsführung - Beschlussfassung (beschließend);Oktober 2025 Oberstaufen Tourismus Marketing GmbH (OTM): Jahresabschluss 2024 Der Jahresabschluss 2024 wurde von der Buchhaltung der OTM aufgestellt und von der WISO Treuhand & Revision GmbH, Wirtschaftsprüfe r Alexander Schwendinger, geprüft und testiert.;
2025-10-09;Marktgemeinderat;6;Ortswärme Oberstaufen GmbH & Co. KG (informativ);Oktober 2025 Oberstaufen Tourismus Marketing GmbH (OTM): Jahresabschluss 2024 Der Jahresabschluss 2024 wurde von der Buchhaltung der OTM aufgestellt und von der WISO Treuhand & Revision GmbH, Wirtschaftsprüfe r Alexander Schwendinger, geprüft und testiert.;
2025-10-09;Marktgemeinderat;6.1;Feststellung des Jahresabschlusses 2024 mit Entlastung der Geschäftsführung - Beschlussfassung (beschließend);Oktober 2025 Oberstaufen Tourismus Marketing GmbH (OTM): Jahresabschluss 2024 Der Jahresabschluss 2024 wurde von der Buchhaltung der OTM aufgestellt und von der WISO Treuhand & Revision GmbH, Wirtschaftsprüfe r Alexander Schwendinger, geprüft und testiert.;
2025-10-09;Marktgemeinderat;6.2;Wirtschafts- und Finanzplan 2026 - Beschlussfassung (beschließend);Oktober 2025 Oberstaufen Tourismus Marketing GmbH (OTM): Jahresabschluss 2024 Der Jahresabschluss 2024 wurde von der Buchhaltung der OTM aufgestellt und von der WISO Treuhand & Revision GmbH, Wirtschaftsprüfe r Alexander Schwendinger, geprüft und testiert. Die Gesellschaft erzielte im Geschäftsjahr 2024 einen Jahresüberschuss in Höhe von 73.000,00 Euro, gegenüber einem Vorjahresüberschuss von 35.;
2025-10-09;Marktgemeinderat;6.3;Bestellung des Wirtschaftsprüfers - Beschlussfassung (beschließend);Bestellung des Wirtschaftsprüfers: Der Marktgemeinderat beschloss einstimmig, Ersten Bürgermeister Martin Beckel zu ermächtigen, in der Gesellschafterversammlung für das Jahr 2025 den Wir tschaftsprüfer Alexander Schwendinger, WISO Treuhand und Revision GmbH, Kempten, zu bestellen. Ermächtigung Gesellschafter Wirtschaftsplan: Erster Bürgermeister Martin Beckel wurde einstimmig ermächtigt, auf Vorschlag des Geschäftsf;einstimmig
2025-10-09;Marktgemeinderat;6.4;Ermächtigung Gesellschafter Wirtschaftsplan - Beschlussfassung (beschließend);Der Marktgemeinderat ermächtigt e einstimmig Ersten Bürgermeister Martin Beckel, als Vertreter des Alle ingesellschafters Markt Oberstaufen, unter Verzicht auf alle vorgeschrieben en Formen und Fristen, in einer gesonderten Gesellschafterversammlung der Oberstauf en Tourismus Marketing GmbH - OTM - folgende Beschlüsse zu fassen: Jahresabschluss: Der Jahresabschluss 2024 wurde von der WISO Treuha nd & Revision GmbH, K;einstimmig
2025-09-17;Marktgemeinderat;2;Einzelhandels- und Gastronomiekonzept, Vorstellung und Beschlussfassung (beschließend);September 2025 Einzelhandels- und Gastronomiekonzept beschlossen Den Marktgemeinderatsmitgliedern wurde das Einzelhandels- und Gastronomiekonzept vorgestellt. Dr. Gino Meier von der beauftragten Gesellschaft für Markt- und Absatzforschung mbH (GMA) zeigte den Räten in der Sitzung einige wesentliche Ergebnisse des Konzeptes vor, welches auch unter Einbindung relevanter Akteure aus Einzelhandel und Gastronomie sowie vo;
2025-09-17;Marktgemeinderat;3;Integriertes Verkehrs- und Parkraumkonzept, Vorstellung und Beschlussfassung (beschließend);Integriertes Verkehrs- und Parkraumkonzept beschlossen Dieses Konzept wurde zeitlich parallel zum Einzelhandels- und Gastronomiekonzept erarbeitet und das Ergebnis konnte nun ebenfalls im Marktgemeinderat vorgestellt werden.;
2025-09-17;Marktgemeinderat;4;Bestellung eines Wahlleiters und dessen Stellvertreter zu den anstehenden allgemeinen Gemeinde- und Landkreiswahlen (Kommunalwahl) am 08.03.2026 - Beschlussfassung (beschließend);Aus der Sitzung des Marktgemeinderates vom 17. September 2025 Einzelhandels- und Gastronomiekonzept beschlossen Den Marktgemeinderatsmitgliedern wurde das Einzelhandels- und Gastronomiekonzept vorgestellt. Dr.;
2025-09-17;Marktgemeinderat;5;Tourismus Eigenbetrieb Oberstaufen: Feststellung und Entlastung des kaufmännischen Jahresabschlusses 2020 / kamerale Jahresrechnung 2020 - Beschlussfassung (beschließend);Tourismus Eigenbetrieb Oberstaufen (TEO) – Feststellung des Jahresabschlusses 2020 Das von Kämmerer Matthias Straub vorgestellte Ergebnis des kaufmännischen Jahresabschlusses sowie der kameralen Jahresrechnung jeweils für das Jahr 2020 wurde durch Beschluss des Marktgemeinderates festgestellt.;
2025-09-17;Marktgemeinderat;6;Regiebetrieb Wasserwerk Oberstaufen: Steuerlicher Jahresabschluss 2021 - Beschlussfassung (beschließend);Tourismus Eigenbetrieb Oberstaufen (TEO) – Feststellung des Jahresabschlusses 2020 Das von Kämmerer Matthias Straub vorgestellte Ergebnis des kaufmännischen Jahresabschlusses sowie der kameralen Jahresrechnung jeweils für das Jahr 2020 wurde durch Beschluss des Marktgemeinderates festgestellt.;
2025-09-17;Marktgemeinderat;7;Erlass einer neuen Stellplatzsatzung - Beschlussfassung (beschließend);Neuerlass der Stellplatzsatzung Auf Empfehlung des Bau- und Umweltausschusses hat der Marktgemeinderat einstimmig eine neue „Satzung zur Einführung einer Pflicht zum Nachweis von Stellplätzen für Kraftfahrzeuge (Stellplatzsatzung)“ beschlossen.;einstimmig
2025-09-17;Marktgemeinderat;8;Erlass einer neuen Richtlinie für die Vergabe von Wohnbaugrundstücken in gemeindeeigenen Baugebieten des Marktes Oberstaufen - Beschlussfassung (beschließend);Das Konzept ist auf der Homepage des Marktes Oberstaufen bereitgestellt. Die Ergebnisse des Konzeptes sollen zudem in diesem Jahr noch bei einer Bürgerinformationsveranstaltung vorgestellt werden. Der Termin dafür wird noch bekannt gegeben.;
2025-09-17;Marktgemeinderat;9.1;"Baugebiet ""Auf der Halde"": Vergabe der Bauleistungen für die Roherschließung - Beschlussfassung (beschließend)";Neue Richtlinien für die Vergabe von Wohnbaugrundstücken in gemeindeeigenen Baugebieten beschlossen Im Bau- und Umweltausschuss wurden die neuen Vergaberichtlinien erarbeitet und nun dem Marktgemeinderat zum Beschluss empfohlen. Der Marktgemeinderat beschloss die vorgelegte Vergaberichtlinie mit der Änderung, dass der Erbbauzins auf 2,5 % abgeändert wird, dass das Grundstück nach vierzig Jahren über den Erbbauzins fi;
2025-09-17;Marktgemeinderat;9.2;Wasserversorgung Imberggebiet: Vergabe der Bauleistungen für den Rohrleitungsbau - Beschlussfassung (beschließend);Neue Richtlinien für die Vergabe von Wohnbaugrundstücken in gemeindeeigenen Baugebieten beschlossen Im Bau- und Umweltausschuss wurden die neuen Vergaberichtlinien erarbeitet und nun dem Marktgemeinderat zum Beschluss empfohlen. Der Marktgemeinderat beschloss die vorgelegte Vergaberichtlinie mit der Änderung, dass der Erbbauzins auf 2,5 % abgeändert wird, dass das Grundstück nach vierzig Jahren über den Erbbauzins fi;
2025-09-17;Marktgemeinderat;9.3;Bauhof Oberstaufen: Ersatzbeschaffung für Radlader (OA-Q 4976) - Beschlussfassung (beschließend);Ersatzbeschaffung eines Radladers für den Bauhof Oberstaufen Der vorhandene Radlader der Marke Atlas ist Baujahr 2017. Aufgrund einer neuen arbeitsrechtlichen Vorschrift darf der vorhandene Arbeitskorb so nicht mehr weiterbetrieben werden. Aktuell kann der Arbeitskorb nur über das Cockpit des Radladers bedient werden.;
2025-09-17;Marktgemeinderat;10;Neuerlass einer Satzung über die Erhebung von Verwaltungskosten im eigenen Wirkungskreis - Beschlussfassung;Wasserwerk Oberstaufen – steuerlicher Jahresabschluss 2021 Kämmerer Matthias Straub berichtete über den mittlerweile vorliegenden steuerlichen Jahresabschluss für das gemeindliche Wasserwerk zum Jahr 2021. Der steuerliche Jahresabschluss 2021, inklusive Körperschaft- und Gewerbesteuerklärung, wurde von der Steuerkanzlei asr PartGmbB erstellt.;
2025-09-17;Marktgemeinderat;11;Erlass einer Verordnug über das Offenhalten von Verkaufsstellen (verkaufsoffener Sonntag) - Beschlussfassung (beschließend);Wasserwerk Oberstaufen – steuerlicher Jahresabschluss 2021 Kämmerer Matthias Straub berichtete über den mittlerweile vorliegenden steuerlichen Jahresabschluss für das gemeindliche Wasserwerk zum Jahr 2021. Der steuerliche Jahresabschluss 2021, inklusive Körperschaft- und Gewerbesteuerklärung, wurde von der Steuerkanzlei asr PartGmbB erstellt.;
2025-07-10;Marktgemeinderat;2.1;Förderung des ländlichen Raums im ELER-Verfahren: Straßenbau in Laufenegg, Döbelisried, Hinterreute, Vorderreute Tiefbauarbeiten - Beschlussfassung;Juli 2025 Förderung des ländlichen Raums im ELER-Verfahren: Straßenbau in Laufenegg, Döbelisried, Hinterreute und Vorderreute, Auftragsvergabe Der Marktgemeinderat beschloss, den Auftrag an die Fa.;
2025-07-10;Marktgemeinderat;2.2;Wasserversorgung Imberggebiet, Bau Hochbehälter - Beschlussfassung (beschließend);Wasserversorgung Imberggebiet, Bau Hochbehälter Die Räte vergaben den Auftrag zum Bau eines Hochbeh älters (90 m³) am Imberg an den günstigsten Bieter, die Firma Hawle, Freilassin g, zu einer Angebotssumme von 198.;
2025-07-10;Marktgemeinderat;2.3;Wasserversorgung Sanierung Leitungsnetz - Beschlussfassung (beschließend);Wasserversorgung Imberggebiet, Bau Hochbehälter Die Räte vergaben den Auftrag zum Bau eines Hochbeh älters (90 m³) am Imberg an den günstigsten Bieter, die Firma Hawle, Freilassin g, zu einer Angebotssumme von 198.;
2025-07-10;Marktgemeinderat;2.4;Regenüberlaufbecken Süd, Einbau eines Rechen - Beschlussfassung (beschließend);Wasserversorgung Imberggebiet, Bau Hochbehälter Die Räte vergaben den Auftrag zum Bau eines Hochbeh älters (90 m³) am Imberg an den günstigsten Bieter, die Firma Hawle, Freilassin g, zu einer Angebotssumme von 198.273 Euro (netto). Die Firma Hawle hat bereits den Hochbehälter am Hündle errichtet.;
2025-07-10;Marktgemeinderat;2.5;Sanierung Fußgängerzone Schloßstr / Kirchplatz, Planung - Beschlussfassung (beschließend);Wasserversorgung Sanierung Leitungsnetz Im Zuge einer öffentlichen Ausschreibung wurde die Sanierung des Leitungsnetzes in der Schellenbergstraße, Bauhofweg und Am Alten Weih er ausgeschrieben. Geplant ist die alten Leitungsabschnitte mit Grauguss Rohren – bei denen in den letzten Jahren vermehrt Rohrbrüche auftraten – durch Duktilen-Guss bzw.;
2025-07-10;Marktgemeinderat;3.1;"Billigungs- und Beteiligungsbeschluss zur Aufhebung des Bebauungsplanes ""Teilbaulinienplan Wiedemannsdorf"" (beschließend)";Bauleitplanung, Aufhebung der Bebauungspläne „Teilb aulinienplan Wiedemannsdorf“ und „Wiedemannsdorf 1“ Diese Bebauungspläne sind relativ alt und die beinh alteten Gebiete mittlerweile bebaut. Die darin getroffenen Festsetzungen sind du rch die aktuellen baurechtlichen Regelungen und teilweise geänderte, zeitgemäße plan erische Vorstellungen stehen diesen beiden Bebauungsplänen entgegen, so dass der Marktgemeinderat ;
2025-07-10;Marktgemeinderat;3.2;"Billigungs- und Beteiligungsbeschluss zur Aufhebung des Bebauungsplanes ""Wiedemannsdorf 1"" (beschließend)";Bauleitplanung, Aufhebung der Bebauungspläne „Teilb aulinienplan Wiedemannsdorf“ und „Wiedemannsdorf 1“ Diese Bebauungspläne sind relativ alt und die beinh alteten Gebiete mittlerweile bebaut. Die darin getroffenen Festsetzungen sind du rch die aktuellen baurechtlichen Regelungen und teilweise geänderte, zeitgemäße plan erische Vorstellungen stehen diesen beiden Bebauungsplänen entgegen, so dass der Marktgemeinderat ;
2025-07-10;Marktgemeinderat;4;Tourismus Eigenbetrieb Oberstaufen;Tourismus Eigenbetrieb Oberstaufen (TEO): Bekanntma chung des kaufmännischen Jahresabschlusses 2020 Dem Marktgemeinderat wurden gemäß den einschlägigen Vorschriften der Gemeindeordnung - GO (Art. 88 Abs. 4 Satz 1 und Art . 102 Abs. 2) jeweils das Ergebnis der kameralen Jahresrechnung 2020 sowie da s des kaufmännischen Jahresabschlusses 2020 des TEO bekannt gegeben.;
2025-07-10;Marktgemeinderat;4.1;Tourismus Eigenbetrieb Oberstaufen (TEO): Bekanntmachung des kaufmännischen Jahresabschlusses 2020 / kamerale Jahresrechnung 2020 - Beschlussfassung (beschließend);Tourismus Eigenbetrieb Oberstaufen (TEO): Bekanntma chung des kaufmännischen Jahresabschlusses 2020 Dem Marktgemeinderat wurden gemäß den einschlägigen Vorschriften der Gemeindeordnung - GO (Art. 88 Abs. 4 Satz 1 und Art . 102 Abs. 2) jeweils das Ergebnis der kameralen Jahresrechnung 2020 sowie da s des kaufmännischen Jahresabschlusses 2020 des TEO bekannt gegeben.;
2025-07-10;Marktgemeinderat;4.2;Tourismus Eigenbetrieb Oberstaufen (TEO) Beschaffung Wanderwegepflegegerät - Beschlussfassung (beschließend);Tourismus Eigenbetrieb Oberstaufen (TEO): Bekanntma chung des kaufmännischen Jahresabschlusses 2020 Dem Marktgemeinderat wurden gemäß den einschlägigen Vorschriften der Gemeindeordnung - GO (Art. 88 Abs. 4 Satz 1 und Art . 102 Abs. 2) jeweils das Ergebnis der kameralen Jahresrechnung 2020 sowie da s des kaufmännischen Jahresabschlusses 2020 des TEO bekannt gegeben.;
2025-07-10;Marktgemeinderat;5;Durchführung der Veranstaltung „Winterzauber 2025/26“ am Standort Marienplatz Oberstaufen - Beschlussfassung (beschließend);Juli 2025 Förderung des ländlichen Raums im ELER-Verfahren: Straßenbau in Laufenegg, Döbelisried, Hinterreute und Vorderreute, Auftragsvergabe Der Marktgemeinderat beschloss, den Auftrag an die Fa.;
