datum;gremium;top;titel;beschlussstatus;berichte;beschlusshinweis;abstimmungshinweis
2026-01-14;Bau- und Umweltausschuss;8;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2026-01-14;Bau- und Umweltausschuss;8.1;"Meerau 12, Fl.-Nr. 1669 u. 1671 Gem. Oberstaufen; Neubau Einfamilienhaus mit Carport (informativ)";kein beschließender TOP-Titel;0;;
2026-01-14;Bau- und Umweltausschuss;8.2;"Unterdorf 22, Fl.-Nr. 439/6, Gem. Aach i. Allg.; Nutzungsänderung eines Wohnhauses zu möblierten Unterkünften zur tagweisen Vermietung (5 Wohneinheiten) - Änderung des Stellplatznachweises (beschließend)";beschließend vorgesehen;0;;
2025-12-11;Marktgemeinderat;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;1;;
2025-12-11;Marktgemeinderat;2;Kurhaus Oberstaufen: Beschlussfassung zum weiteren Vorgehen auf Basis der Standortanalyse (beschließend);beschließend vorgesehen;1;Dezember 2025 Kurhaus Oberstaufen: Beschlussfassung zum weiteren Vorgehen auf Basis der Standortanalyse In der letzten Sitzung des Marktgemeinderates am 13 . November 2025 wurden die Fraktionen nach der Präsentation der Architektur- u nd Stadtplaner und Diskussion in der Runde darum gebeten, in ihren Fraktionen das Th ema Kurhaus Oberstaufen zu diskutieren, damit in der Dezember-Sitzung ein ents prechender Grundsatzb;
2025-12-11;Marktgemeinderat;3;MOBIL PASS ALLGÄU - Verlängerung der Pilotphase bis 31.12.2027 - Anpassung Beitrag - Beschlussfassung (beschließend);beschließend vorgesehen;1;MOBIL PASS ALLGÄU – Verlängerung der Pilotphase bis 31.12.2027 – Anpassung Beitrag In der Sitzung der Vollversammlung des MOBIL PASS ALLGÄU am 31. Oktober 2025, die sich aus den 17 teilnehmenden Kommunen, der Allgäu-Walser-Service GmbH als Systembetreiber, der WIIF GmbH für die Projektleitu ng, weiteren zentralen Projektpartnern wie dem Landkreis Oberallgäu – Sac hgebiet ÖPNV, den teilnehmenden Verkehrsverbünde und -;
2025-12-11;Marktgemeinderat;4;Bauleitplanung (beschließend);beschließend vorgesehen;1;;
2025-12-11;Marktgemeinderat;4.1;"Aufhebung des Bebauungsplanes ""Am Staufenhang"" - Beschlussfassung (beschließend)";beschließend vorgesehen;1;Dezember 2025 Kurhaus Oberstaufen: Beschlussfassung zum weiteren Vorgehen auf Basis der Standortanalyse In der letzten Sitzung des Marktgemeinderates am 13 . November 2025 wurden die Fraktionen nach der Präsentation der Architektur- u nd Stadtplaner und Diskussion in der Runde darum gebeten, in ihren Fraktionen das Th ema Kurhaus Oberstaufen zu diskutieren, damit in der Dezember-Sitzung ein ents prechender Grundsatzb;
2025-12-11;Marktgemeinderat;4.2;"Aufhebung des Bebauungsplanes ""Pfalzen III"" - Beschlussfassung (beschließend)";beschließend vorgesehen;1;Dezember 2025 Kurhaus Oberstaufen: Beschlussfassung zum weiteren Vorgehen auf Basis der Standortanalyse In der letzten Sitzung des Marktgemeinderates am 13 . November 2025 wurden die Fraktionen nach der Präsentation der Architektur- u nd Stadtplaner und Diskussion in der Runde darum gebeten, in ihren Fraktionen das Th ema Kurhaus Oberstaufen zu diskutieren, damit in der Dezember-Sitzung ein ents prechender Grundsatzb;
2025-12-11;Marktgemeinderat;4.3;"Aufhebung des Bebauungsplanes ""Pfalzen V"" - Beschlussfassung (beschließend)";beschließend vorgesehen;1;Dezember 2025 Kurhaus Oberstaufen: Beschlussfassung zum weiteren Vorgehen auf Basis der Standortanalyse In der letzten Sitzung des Marktgemeinderates am 13 . November 2025 wurden die Fraktionen nach der Präsentation der Architektur- u nd Stadtplaner und Diskussion in der Runde darum gebeten, in ihren Fraktionen das Th ema Kurhaus Oberstaufen zu diskutieren, damit in der Dezember-Sitzung ein ents prechender Grundsatzb;
2025-12-11;Marktgemeinderat;4.4;Aufstellungsbeschluss für Bebauungsplan Oberstaufen Ortsmitte (Festlegung des Geltungsbereiches zur Sicherung des Gewerbes und Einzelhandels) - Beschlussfassung (informativ);kein beschließender TOP-Titel;1;Bauleitplanung Aufhebung des Bebauungsplanes „Am Staufenhang“ Wie bereits mehrfach beraten, besteht die Notwendig keit, dass insbesondere alte Bebauungspläne, die ihren planerischen Bedarf verlo ren haben, aufzuheben sind. Nachdem man bei zwei Bebauungsplänen in Wiedemannsd orf bereits das Aufhebungsverfahren abgeschlossen hat, schlägt die Verwaltung vor, dass ebenso der Bebauungsplan „Staufenhang“ aus dem Jahr 1993 ;
2025-12-11;Marktgemeinderat;4.5;Erlass einer Veränderungssperre zur Sicherung des Gewerbes und Einzelhandels im Zuge des Bebauungsplanes Oberstaufen Ortsmitte - Beschlussfassung (beschließend);beschließend vorgesehen;1;Der Marktgemeinderat beschloss einstimmig die Sanierung des Kurhauses anzugehen und hierbei die oben dargestellten Ziele und Ergebnisse aus der Standortanalyse unter dem Vorbehalt der Finanzierbarkeit umzusetzen. Die weiteren Anregungen aus Marktgemeinderat und Verwaltung sind ebenfalls zu b erücksichtigen.;einstimmig
2025-12-11;Marktgemeinderat;5;"Darlehen für die Energiegesellschaft Oberallgäu (EGOA GmbH); Projekt Carport-PV-Anlage Klinik Immenstadt - Beschlussfassung (beschließend)";beschließend vorgesehen;1;In der Diskussion stellte sich heraus, dass der Mar ktgemeinderat klar hinter dem Projekt Kurhaus Oberstaufen steht. Für die weiteren Beschlüsse sind generell Kostenaufstellungen gewünscht, besonders für die Th emen Altlasten und das Brandschutzkonzept. Außerdem wurde der Vorbehalt de r Finanzierbarkeit mit in den Beschluss aufgenommen.;
2025-12-11;Marktgemeinderat;6;Fortschreibung des qualifizierten Mietspiegels des Marktes Oberstaufen mittels Indexzahlen - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-12-11;Marktgemeinderat;7;Änderungen des Ortsrechts (beschließend);beschließend vorgesehen;1;;
2025-12-11;Marktgemeinderat;7.1;Neufassung der Zweitwohnungssteuersatzung - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-12-11;Marktgemeinderat;7.2;Neuerlass der Benutzungssatzung für das Färberhaus - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-12-11;Marktgemeinderat;7.3;Neuerlass der Gebührensatzung für das Färberhaus - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-12-11;Marktgemeinderat;8;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;1;;
2025-12-11;Marktgemeinderat;9;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;1;;
2025-11-26;Bau- und Umweltausschuss;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2025-11-26;Bau- und Umweltausschuss;2;Bauanträge (beschließend);beschließend vorgesehen;0;;
2025-11-26;Bau- und Umweltausschuss;2.1;"Klosterstraße 10 und 12, Fl.-Nr. 1665 Gem. Oberstaufen; Neubau einer Garage als Grenzbebauung (beschließend)";beschließend vorgesehen;0;;
2025-11-26;Bau- und Umweltausschuss;2.2;"Hagspiel 4, Fl.-Nr. 1167 Gem. Aach; Umnutzung der bestehenden Gaststätte zu einer Wohnung und brandschutztechnischer Ertüchtigung (beschließend)";beschließend vorgesehen;0;;
2025-11-26;Bau- und Umweltausschuss;2.3;"Unterdorf 22, Fl.-Nr. 439/6 Gem. Aach i. Allg.; Nutzungsänderung eines Wohnhauses zu möblierten Unterkünften zur tagweisen Vermietung (5 Wohneinheiten) (beschließend)";beschließend vorgesehen;0;;
2025-11-26;Bau- und Umweltausschuss;2.4;"Bahnhofstraße 6, Fl.-Nr. 101/2 Gem. Oberstaufen; Einbau v. 4 Wohnungen anstelle d. 2 Läden im EG und Einbau einer weiteren Wohnung im 1. OG aus Teilen d. angrenzenden Wohnungen (jetzt 12 anstelle v. 7 Wohnungen) sowie Anbau v 2 weiteren Balkone im 1.OG (beschließend)";beschließend vorgesehen;0;;
2025-11-26;Bau- und Umweltausschuss;2.5;"Willis 8, Fl.-Nrn 684, 690/1 Gem. Oberstaufen; Hotelresort Bergkristall; Neubau einer Tiefgarage sowie Chalets, einem Betriebsleiterwohnhaus und Löschwasserteich; 2. Tektur (beschließend)";beschließend vorgesehen;0;;
2025-11-26;Bau- und Umweltausschuss;3;Bauleitplanung;kein beschließender TOP-Titel;0;;
2025-11-26;Bau- und Umweltausschuss;3.1;Abwägungs- und Satzungsbeschluss zur 1. Änderung der Außenbereichssatzung Osterdorf (beschließend);beschließend vorgesehen;0;;
2025-11-26;Bau- und Umweltausschuss;3.2;"Abwägungs- und Satzungsbeschluss über die Einbeziehungssatzung ""Salmas Nord"" (beschließend)";beschließend vorgesehen;0;;
2025-11-26;Bau- und Umweltausschuss;3.3;Information zur Aufhebung von (alten) Bebauungsplänen (informativ);kein beschließender TOP-Titel;0;;
2025-11-26;Bau- und Umweltausschuss;4;Sachstandsbericht zur innerörtlichen Bauleitplanung / Erhaltungssatzung zur Sicherung des örtlichen Einzelhandels (Gewerbe) (vorberatend);kein beschließender TOP-Titel;0;;
2025-11-26;Bau- und Umweltausschuss;5;"Gemeinde Balderschwang; 2. Erweiterung Bebauungsplan mit Grünordnung ""Wäldle"" und 7. Änderung Flächennutzungsplan (beschließend)";beschließend vorgesehen;0;;
2025-11-26;Bau- und Umweltausschuss;6;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2025-11-26;Bau- und Umweltausschuss;7;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2025-11-13;Marktgemeinderat;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;1;;
2025-11-13;Marktgemeinderat;2;Neufassung Kurbeitragssatzung - Beschlussfassung (beschließend);beschließend vorgesehen;1;November 2025 Neufassung Kurbeitragssatzung Der Marktgemeinderat beschloss einstimmig die Neufassung der Kurbeitragssatzung. Diese tritt zum 1. Dezember 2025 in Kraft. Die Neufassung hängt an der Amtstafel vor dem Rathaus aus und ist auf unserer Internetseite www.;einstimmig
2025-11-13;Marktgemeinderat;3;"Antrag Pfarrgemeinde Maria Schnee Aach; Zuschuss Sanierung Kirche Aach - Beschlussfassung (beschließend)";beschließend vorgesehen;1;"Antrag Pfarrgemeinde Maria Schnee Aach; Zuschuss Sanierung Kirche Aach Mit Antrag vom 02.10.2025 beantragte die Pfarrgemeinde Maria Schnee in Aach einen Zuschuss für die Sanierung der Kirchendecke sowie d ie Beseitigung der statischen Mängel im Turm.";
2025-11-13;Marktgemeinderat;4;Erfrischungsgeld Wahlhelfer allgemeine Gemeinde- und Landkreiswahlen am 08.03.2026 - Beschlussfassung (beschließend);beschließend vorgesehen;1;Aus der Sitzung des Marktgemeinderates am 13. November 2025 Neufassung Kurbeitragssatzung Der Marktgemeinderat beschloss einstimmig die Neufassung der Kurbeitragssatzung. Diese tritt zum 1. Dezember 2025 in Kraft.;einstimmig
2025-11-13;Marktgemeinderat;5;Ersatzbeschaffung Persönlicher Schutzausrüstung (PSA) für die Feuerwehr Oberstaufen - Beschlussfassung (beschließend);beschließend vorgesehen;1;Ersatzbeschaffung Persönlicher Schutzausrüstung (PS A) für die Feuerwehr Oberstaufen Die Einsatzkleidung der Feuerwehr Oberstaufen ist in die Jahre gekommen und zeigt auch kein einheitliches Bild mehr. Der Marktgemeind erat beschloss deshalb auf Vorschlag der Feuerwehr und der Verwaltung einstimm ig die Beschaffung von 65 neuen Feuerwehranzügen für die Feuerwehr Oberstaufen mit einem Gesamtvolumen von 97.;
2025-11-13;Marktgemeinderat;6;Freibad Thalkirchdorf (beschließend);beschließend vorgesehen;1;;
2025-11-13;Marktgemeinderat;6.1;Auftragsvergabe Architektenleistung - informativ (informativ);kein beschließender TOP-Titel;1;;
2025-11-13;Marktgemeinderat;6.2;"Teilnahme am Bundesprogramm "" Sanierung kommunaler Sportstätten"" - Beschlussfassung";kein beschließender TOP-Titel;1;"Antrag Pfarrgemeinde Maria Schnee Aach; Zuschuss Sanierung Kirche Aach Mit Antrag vom 02.10.2025 beantragte die Pfarrgemeinde Maria Schnee in Aach einen Zuschuss für die Sanierung der Kirchendecke sowie d ie Beseitigung der statischen Mängel im Turm.";
2025-11-13;Marktgemeinderat;7;Kläranlage Oberstaufen: Auftragsvergabe Modernisierung Schaltschränke und Elektroverteilung - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-11-13;Marktgemeinderat;8;Kurhaus Oberstaufen: Vorstellung Standortanalyse - informativ (beschließend);beschließend vorgesehen;1;;
2025-11-13;Marktgemeinderat;9;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;1;;
2025-11-13;Marktgemeinderat;10;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;1;;
2025-10-27;Schulverbandsversammlung;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2025-10-27;Schulverbandsversammlung;2;Bekanntgabe der Jahresrechnung 2024  Beschlussfassung (beschließend);beschließend vorgesehen;0;;
2025-10-27;Schulverbandsversammlung;3;Rechtliche Würdigung Haushaltsatzung mit Haushaltsplan 2025 durch das Landratsamt Oberallgäu (Kommunalaufsicht) - informativ (informativ);kein beschließender TOP-Titel;0;;
2025-10-27;Schulverbandsversammlung;4;Haushaltsüberwachung Schulverband Oberstaufen 2025 | unterjähriges Berichtswesen - informativ (informativ);kein beschließender TOP-Titel;0;;
2025-10-27;Schulverbandsversammlung;5;Umstellung des Essenslieferanten der Schulmensa - Beschlussfassung;kein beschließender TOP-Titel;0;;
2025-10-27;Schulverbandsversammlung;6;Kitafino: Anpassung der Konditionen ab 08.2025 - Beschlussfassung (beschließend);beschließend vorgesehen;0;;
2025-10-27;Schulverbandsversammlung;7;Einführung einer betrieblichen Krankenversicherung für die Beschäftigten des Schulverbandes - Beschlussfassung (beschließend);beschließend vorgesehen;0;;
2025-10-27;Schulverbandsversammlung;8;Bauliche Erweiterung Mittagsbetreuung -Beschlussfassung- (beschließend);beschließend vorgesehen;0;;
2025-10-27;Schulverbandsversammlung;9;Genehmigung der letzten öffentlichen Sitzungsniederschrift;kein beschließender TOP-Titel;0;;
2025-10-27;Schulverbandsversammlung;10;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2025-10-22;Bau- und Umweltausschuss;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2025-10-22;Bau- und Umweltausschuss;2;Bauanträge (beschließend);beschließend vorgesehen;0;;
2025-10-22;Bau- und Umweltausschuss;2.1;"Schellenbergstraße 4b, Fl.-Nr. 410/27 Gem. Oberstaufen; Anbau Garage (beschließend)";beschließend vorgesehen;0;;
2025-10-22;Bau- und Umweltausschuss;2.2;"Alpe Unteregg, Fl.-Nr. 1539/22 Gem. Aach; Teilabbruch und Wiederaufbau landwirtschaftliches Gebäude (beschließend)";beschließend vorgesehen;0;;
2025-10-22;Bau- und Umweltausschuss;2.3;"Sinswang, Fl.-Nr. 3762 Gem. Oberstaufen; Neubau eines Viehunterstands mit Rundballen- und Hackschnitzellager (beschließend)";beschließend vorgesehen;0;;
2025-10-22;Bau- und Umweltausschuss;2.4;"Paradiesweg 13, Fl.-Nr. 895/21 Gemarkung Oberstaufen; Sanierung und Anbau an ein Reihenhaus; 1. Tektur vom 12.10.2025 (beschließend)";beschließend vorgesehen;0;;
2025-10-22;Bau- und Umweltausschuss;3;Bauvoranfragen;kein beschließender TOP-Titel;0;;
2025-10-22;Bau- und Umweltausschuss;3.1;"Jugetweg 6, Fl.-Nrn. 87/7, 87/1 und 90/9 Gem. Oberstaufen; Abbruch des bestehenden Wohnhauses und Errichtung von zwei Mehrfamilienhäusern mit insgesamt 5 Wohneinheiten und Garagen (beschließend)";beschließend vorgesehen;0;;
2025-10-22;Bau- und Umweltausschuss;4;Auftragsvergaben (beschließend);beschließend vorgesehen;0;;
2025-10-22;Bau- und Umweltausschuss;5;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2025-10-22;Bau- und Umweltausschuss;6;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2025-10-22;Bau- und Umweltausschuss;6.1;"Sachbericht zur Gesetzesnovelle ""Bau-Turbo"" (informativ)";kein beschließender TOP-Titel;0;;
2025-10-20;Tourismusausschuss;1;Anträge zur Tagesordnung;kein beschließender TOP-Titel;0;;
2025-10-20;Tourismusausschuss;2;Touristische Entwicklung 2025 (informativ);kein beschließender TOP-Titel;0;;
2025-10-20;Tourismusausschuss;3;Ersatzbeschaffung für ein Porterfahrzeug Beschlussfassung;kein beschließender TOP-Titel;0;;
2025-10-20;Tourismusausschuss;4;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2025-10-20;Tourismusausschuss;5;Anfragen und Bekanntgaben;kein beschließender TOP-Titel;0;;
2025-10-09;Marktgemeinderat;2;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;1;;
2025-10-09;Marktgemeinderat;3;Oberstaufen Tourismus Marketing GmbH (OTM): Jahresabschluss 2024 - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-10-09;Marktgemeinderat;4;Aquaria Erlebnisbad-Betriebs GmbH: Jahresabschluss 2024 - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-10-09;Marktgemeinderat;5;Ortswärme Oberstaufen Verwaltungs GmbH: Feststellung des Jahresabschlusses 2024 mit Entlastung der Geschäftsführung - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-10-09;Marktgemeinderat;6;Ortswärme Oberstaufen GmbH & Co. KG (informativ);kein beschließender TOP-Titel;1;;
2025-10-09;Marktgemeinderat;6.1;Feststellung des Jahresabschlusses 2024 mit Entlastung der Geschäftsführung - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-10-09;Marktgemeinderat;6.2;Wirtschafts- und Finanzplan 2026 - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-10-09;Marktgemeinderat;6.3;Bestellung des Wirtschaftsprüfers - Beschlussfassung (beschließend);beschließend vorgesehen;1;;einstimmig
2025-10-09;Marktgemeinderat;6.4;Ermächtigung Gesellschafter Wirtschaftsplan - Beschlussfassung (beschließend);beschließend vorgesehen;1;;einstimmig
2025-10-09;Marktgemeinderat;7;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;1;;
2025-10-09;Marktgemeinderat;8;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;1;;
2025-09-30;Haupt- und Finanzausschuss;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2025-09-30;Haupt- und Finanzausschuss;2;Haushaltsüberwachung Markt Oberstaufen 2025 | unterjähriges Berichtswesen (informativ);kein beschließender TOP-Titel;0;;
2025-09-30;Haupt- und Finanzausschuss;3;Beschaffung einer Waschmaschine und eines Trockenautomats für die Feuerwehr Oberstaufen - Beschlussfassung (beschließend);beschließend vorgesehen;0;;
2025-09-30;Haupt- und Finanzausschuss;4;Glasfaserausbau nach Bayerischer Gigabit-Richtlinie, Rahmenvertragsangebot Ing.-Büro Ledermann - Beschlussfassung;kein beschließender TOP-Titel;0;;
2025-09-30;Haupt- und Finanzausschuss;5;Bücherei Oberstaufen, anteilige Kostenübernahme für Zeitschriften und Abonnements für die Jahre 2023 bis 2025 - Beschlussfassung;kein beschließender TOP-Titel;0;;
2025-09-30;Haupt- und Finanzausschuss;6;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2025-09-30;Haupt- und Finanzausschuss;7;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2025-09-24;Bau- und Umweltausschuss;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;2;Bauanträge (beschließend);beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;2.1;"In der Au, Fl.-Nr. 733 Gem. Aach; Umbau und Erweiterung des bestehenden Lagergebäudes des Golfclubs (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;2.2;"Lindauer Straße 3, Fl.-Nr. 25 Gem. Oberstaufen; Umbau eines Wohn- und Geschäftshauses (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;2.3;"Bgm.-Wucherer-Str. 4, Fl.-Nr. 190/2 Gem. Oberstaufen; Umnutzung der Wohneinheit zu einer Ferienwohnung (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;2.4;"Hugo-v.-Königsegg-Str. 12, Fl.-Nrn 164/18 u.a. Gem. Oberstaufen; Anbau an das Geschäftsgebäude zur Erweiterung der gewerbl. Räumlichkeiten, Errichtung Bistro mit Terrasse und einer Wohneinheit sowie Errichtung Tiefgarage (BA 2-4) (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;2.5;"In der Au 6, Fl.-Nr. 723 Gem. Aach; Antrag auf Nutzungsänderung (Ferienwohnungsnutzung) (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;3;Bauvoranfragen;kein beschließender TOP-Titel;0;;
2025-09-24;Bau- und Umweltausschuss;3.1;"Buchenegg, Fl.-Nr. 2190/01 Gem. Oberstaufen; Bau einer Hackschnitzel- und Gerätehalle";kein beschließender TOP-Titel;0;;
2025-09-24;Bau- und Umweltausschuss;3.2;"Salzstraße 55a, Fl.-Nr. 668/4 Gem. Thalkirchdorf; Neubau einer Wohnung (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;3.3;"Salmas 25, Fl.-Nr. 1005/3; Gem. Thalkirchdorf Anbau an ein bestehendes Anwesen (Anfrage) (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;3.4;"Hugo-v.-Königsegg-Str. 10, Fl.-Nr. 164/7 Gem. Oberstaufen; Anbringung von Werbeanlagen (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;4;Auftragsvergaben (beschließend);beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;4.1;Wasserversorgung, Ringschluss Vorderreute-Saneberg (beschließend);beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;5;"Bauleitplanung; (informativ)";kein beschließender TOP-Titel;0;;
2025-09-24;Bau- und Umweltausschuss;5.1;"Billigungs- und Beteiligungsbeschluss zur 1. Änderung der Außenbereichssatzung ""Osterdorf"" (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;5.2;"Billigungs- und Beteiligungsbeschluss nach § 3 Abs. 2 BauGB zur Einbeziehungssatzung ""Salmas Nord"" (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;5.3;"Abwägungs- und Satzungsbeschluss zur Aufhebung des Bebauungsplanes ""Teilbaulinienplan Wiedemannsdorf"" (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;5.4;"Abwägungs- und Satzungsbeschluss zur Aufhebung des Bebauungsplanes ""Wiedemannsdorf Nr. 1"" (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;6;"Bauleitplanverfahren Nachbargemeinden; (informativ)";kein beschließender TOP-Titel;0;;
2025-09-24;Bau- und Umweltausschuss;6.1;"Gemeinde Balderschwang; Vorhabenbezogener Bebauungsplan ""Mehrfamilienhaus Meyer"" (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;6.2;"Gemeinde Balderschwang; 2. Erweiterung Bebauungsplan mit Grünordnung ""Wädle"" und 7. Änderung Flächennutzungsplan (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;6.3;"Gemeinde Stiefenhofen; Einbeziehungssatzung Balzhofen (beschließend)";beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;7;Sturzflut Risikomanagement für Kirchdorf (beschließend);beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;8;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2025-09-24;Bau- und Umweltausschuss;9;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2025-09-24;Bau- und Umweltausschuss;9.1;"Mühlenstaße 26, Fl.-Nr. 504/2 Gem. Oberstaufen; Antrag auf Erlaubnis zur prüfpflichtigen Errichtung und dem Betrieb einer Dampfkesselanlage der Kategorie IV (informativ)";kein beschließender TOP-Titel;0;;
2025-09-17;Marktgemeinderat;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;1;;
2025-09-17;Marktgemeinderat;2;Einzelhandels- und Gastronomiekonzept, Vorstellung und Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-09-17;Marktgemeinderat;3;Integriertes Verkehrs- und Parkraumkonzept, Vorstellung und Beschlussfassung (beschließend);beschließend vorgesehen;1;Integriertes Verkehrs- und Parkraumkonzept beschlossen Dieses Konzept wurde zeitlich parallel zum Einzelhandels- und Gastronomiekonzept erarbeitet und das Ergebnis konnte nun ebenfalls im Marktgemeinderat vorgestellt werden.;
2025-09-17;Marktgemeinderat;4;Bestellung eines Wahlleiters und dessen Stellvertreter zu den anstehenden allgemeinen Gemeinde- und Landkreiswahlen (Kommunalwahl) am 08.03.2026 - Beschlussfassung (beschließend);beschließend vorgesehen;1;Aus der Sitzung des Marktgemeinderates vom 17. September 2025 Einzelhandels- und Gastronomiekonzept beschlossen Den Marktgemeinderatsmitgliedern wurde das Einzelhandels- und Gastronomiekonzept vorgestellt. Dr.;
2025-09-17;Marktgemeinderat;5;Tourismus Eigenbetrieb Oberstaufen: Feststellung und Entlastung des kaufmännischen Jahresabschlusses 2020 / kamerale Jahresrechnung 2020 - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-09-17;Marktgemeinderat;6;Regiebetrieb Wasserwerk Oberstaufen: Steuerlicher Jahresabschluss 2021 - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-09-17;Marktgemeinderat;7;Erlass einer neuen Stellplatzsatzung - Beschlussfassung (beschließend);beschließend vorgesehen;1;Neuerlass der Stellplatzsatzung Auf Empfehlung des Bau- und Umweltausschusses hat der Marktgemeinderat einstimmig eine neue „Satzung zur Einführung einer Pflicht zum Nachweis von Stellplätzen für Kraftfahrzeuge (Stellplatzsatzung)“ beschlossen.;einstimmig
2025-09-17;Marktgemeinderat;8;Erlass einer neuen Richtlinie für die Vergabe von Wohnbaugrundstücken in gemeindeeigenen Baugebieten des Marktes Oberstaufen - Beschlussfassung (beschließend);beschließend vorgesehen;1;Das Konzept ist auf der Homepage des Marktes Oberstaufen bereitgestellt. Die Ergebnisse des Konzeptes sollen zudem in diesem Jahr noch bei einer Bürgerinformationsveranstaltung vorgestellt werden. Der Termin dafür wird noch bekannt gegeben.;
2025-09-17;Marktgemeinderat;9;Auftragsvergaben (beschließend);beschließend vorgesehen;1;;
2025-09-17;Marktgemeinderat;9.1;"Baugebiet ""Auf der Halde"": Vergabe der Bauleistungen für die Roherschließung - Beschlussfassung (beschließend)";beschließend vorgesehen;1;Neue Richtlinien für die Vergabe von Wohnbaugrundstücken in gemeindeeigenen Baugebieten beschlossen Im Bau- und Umweltausschuss wurden die neuen Vergaberichtlinien erarbeitet und nun dem Marktgemeinderat zum Beschluss empfohlen. Der Marktgemeinderat beschloss die vorgelegte Vergaberichtlinie mit der Änderung, dass der Erbbauzins auf 2,5 % abgeändert wird, dass das Grundstück nach vierzig Jahren über den Erbbauzins fi;
