datum;gremium;top;titel;beschlussstatus;berichte;beschlusshinweis;abstimmungshinweis
2026-07-08;Marktgemeinderat;6;Bericht zur angekündigten Schließung der Eisenbahnunterführung im Moos, Beratung und Entscheidung über weiteres Vorgehen - Beschlussfassung (beschließend);beschließend vorgesehen;1;Über den QR-Code ist die Jahresrechnung visuell abrufbar. Dem Marktgemeinderat wurde die Jahresrechnung 2025 (Art. 102 GO) mit dem folgenden Ergebnis bekanntgegeben: Die Einnahmen un d Ausgaben im Verwaltungshaushalt betragen 36.;
2026-07-08;Marktgemeinderat;7;Glasfaserausbau, Gigabit Förder-Richtlinie Bund: Markterkundungsverfahren u. Antragstellung, Kooperation mit Westallgäuer Gemeinden - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-07-08;Marktgemeinderat;8;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;1;;
2026-07-08;Marktgemeinderat;9;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;1;;
2026-06-24;Bau- und Umweltausschuss;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2026-06-24;Bau- und Umweltausschuss;2;Bauanträge (beschließend);beschließend vorgesehen;0;;
2026-06-24;Bau- und Umweltausschuss;2.1;"Am Hößl 1A, Fl.-Nr. 745 Gem. Aach i. Allg.; Neubau eines Austragungshauses mit 2 Ferienwohnungen und Garage (beschließend)";beschließend vorgesehen;0;;
2026-06-24;Bau- und Umweltausschuss;2.2;"Auf der Halde 15, Fl.-Nr. 664/22 Gem. Thalkirchdorf; Errichtung eines Sichtschutzzaunes (beschließend)";beschließend vorgesehen;0;;
2026-06-24;Bau- und Umweltausschuss;2.3;"Burgangerweg 37, Fl.-Nr. 711/4 Gem. Thalkirchdorf; Nutzungsänderung Untergeschoss durch Einbau einer Ferienwohnung und einer Festwohnung; Nutzungsänderung Dachgeschoss von Festwohnung in Ferienwohnung (beschließend)";beschließend vorgesehen;0;;
2026-06-24;Bau- und Umweltausschuss;3;Bauvoranfragen;kein beschließender TOP-Titel;0;;
2026-06-24;Bau- und Umweltausschuss;3.1;"Knechtenhofen, Fl.-Nr. 1144 Gemarkung Thalkirchdorf; Neubau eines Hofcafe´s (beschließend)";beschließend vorgesehen;0;;
2026-06-24;Bau- und Umweltausschuss;3.2;"Am Steinbruch 25, Fl.-Nr.523/15 Gem. Oberstaufen; Umnutzung von Kellerräumlichkeiten in Naturheilpraxis (Anfrage) (beschließend)";beschließend vorgesehen;0;;
2026-06-24;Bau- und Umweltausschuss;4;Auftragsvergaben (beschließend);beschließend vorgesehen;0;;
2026-06-24;Bau- und Umweltausschuss;5;Bauleitplanverfahren der Nachbargemeinden;kein beschließender TOP-Titel;0;;
2026-06-24;Bau- und Umweltausschuss;5.1;"Stadt Immenstadt; Vorhabenbezogener Bebauungsplan ""Otto-Keck-Straße"" (informativ)";kein beschließender TOP-Titel;0;;
2026-06-24;Bau- und Umweltausschuss;5.2;"Gemeinde Blaichach; Vorhabenbezogener Bebauungsplan ""Berghaus Rusch"" und 5. Änderung des Flächennutzungsplans für den Bereich des vorhabenbezogenen BPls ""Berghaus Rusch"" (informativ)";kein beschließender TOP-Titel;0;;
2026-06-24;Bau- und Umweltausschuss;5.3;"Gemeinde Stiefenhofen; Einbeziehungssatzung ""Stiefenhofen Südost"" (informativ)";kein beschließender TOP-Titel;0;;
2026-06-24;Bau- und Umweltausschuss;5.4;"Gemeinde Stiefenhofen; Einbeziehungssatzung ""Stiefenhofen Nordost"" (informativ)";kein beschließender TOP-Titel;0;;
2026-06-24;Bau- und Umweltausschuss;6;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2026-06-24;Bau- und Umweltausschuss;7;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
