datum;uhrzeit;kalenderwoche;gremium;sitzungsnummer;tagesordnungspunkte;protokoll_veroeffentlicht;dokumente
2025-03-18;19:30;12;Ortschaftsrat Reute-Gaisbeuren;37;0;nein;0
2025-03-24;18:00;13;Gemeinderat;41;12;ja;12
2025-03-27;19:00;13;Ortschaftsrat Mittelurbach;23;0;nein;0
2025-03-31;17:00;14;Arbeitskreis Kinder, Jugend und Bildung;5;4;nein;2
2025-04-01;19:30;14;Ortschaftsrat Michelwinnaden;21;0;nein;0
2025-04-02;19:30;14;Ortschaftsrat Haisterkirch;22;0;nein;0
2025-04-07;18:00;15;Ausschuss für Umwelt, Technik und Nachhaltigkeit;6;8;ja;8
2025-04-08;18:00;15;Verwaltungsausschuss;24;5;ja;6
2025-04-28;19:04;18;Gemeinderat;42;11;ja;11
2025-05-06;19:30;19;Ortschaftsrat Michelwinnaden;22;0;nein;0
2025-05-08;19:00;19;Ortschaftsrat Mittelurbach;24;0;nein;0
2025-05-12;18:00;20;Ausschuss für Umwelt, Technik und Nachhaltigkeit;7;0;nein;0
2025-05-20;19:30;21;Ortschaftsrat Reute-Gaisbeuren;38;0;nein;0
2025-05-26;18:00;22;Gemeinderat;43;12;ja;12
2025-06-23;18:01;26;Gemeinderat;44;7;ja;6
2025-06-24;19:30;26;Ortschaftsrat Reute-Gaisbeuren;39;0;nein;0
2025-07-01;19:30;27;Ortschaftsrat Michelwinnaden;23;0;nein;0
2025-07-03;19:00;27;Ortschaftsrat Mittelurbach;25;0;nein;0
2025-07-07;18:00;28;Ausschuss für Umwelt, Technik und Nachhaltigkeit;8;9;ja;10
2025-07-08;18:00;28;Verwaltungsausschuss;26;4;ja;4
2025-07-16;18:00;29;Kulturbeirat (große Runde);16;0;nein;0
2025-07-16;19:30;29;Ortschaftsrat Haisterkirch;24;0;nein;0
2025-07-21;17:02;30;Gemeinderat;45;17;ja;18
2025-07-22;19:30;30;Ortschaftsrat Reute-Gaisbeuren;40;0;nein;0
2025-07-29;17:30;31;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;13;4;ja;7
2025-07-30;19:00;31;Ortschaftsrat Mittelurbach;26;0;nein;0
2025-09-08;18:00;37;Ortschaftsrat Michelwinnaden;24;0;nein;0
2025-09-15;18:02;38;Ausschuss für Umwelt, Technik und Nachhaltigkeit;9;6;ja;8
2025-09-16;18:00;38;Verwaltungsausschuss;27;4;ja;4
2025-09-23;19:30;39;Ortschaftsrat Reute-Gaisbeuren;41;0;nein;0
2025-09-24;19:30;39;Ortschaftsrat Haisterkirch;25;0;nein;0
2025-09-29;18:01;40;Gemeinderat;47;15;ja;15
2025-09-30;17:33;40;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;14;2;ja;5
2025-09-30;19:30;40;Ortschaftsrat Michelwinnaden;25;0;nein;0
2025-10-02;19:00;40;Ortschaftsrat Mittelurbach;27;0;nein;0
2025-10-06;18:02;41;Ausschuss für Umwelt, Technik und Nachhaltigkeit;10;8;ja;9
2025-10-14;19:30;42;Ortschaftsrat Reute-Gaisbeuren;42;0;nein;0
2025-10-21;18:01;43;Gemeinderat;48;17;ja;26
2025-10-22;17:34;43;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;15;2;ja;4
2025-11-03;19:30;45;Ortschaftsrat Haisterkirch;26;0;nein;0
2025-11-10;18:01;46;Gemeinderat;49;12;ja;14
2025-11-18;19:00;47;Ortschaftsrat Michelwinnaden;26;0;nein;0
