datum;gremium;nummer;titel;vorlage
2026-03-23;Ausschuss für Umwelt, Technik und Nachhaltigkeit;8;"21. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemarkung Bergatreute – Abwägungs- und Entwurfsbeschluss";SV-17/2026
2026-03-23;Ausschuss für Umwelt, Technik und Nachhaltigkeit;9;Verschiedenes;
2026-03-23;Ausschuss für Umwelt, Technik und Nachhaltigkeit;10;Bekanntgaben;
2026-03-24;Verwaltungsausschuss;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2026-03-24;Verwaltungsausschuss;2;Gewährung eines Zuschusses an den Kinderschutzbund;SV-31/2026
2026-03-24;Verwaltungsausschuss;3;Verschiedenes;
2026-03-24;Verwaltungsausschuss;4;Bekanntgaben;
2026-04-13;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2026-04-13;Gemeinderat;2;Informationen des Oberbürgermeisters;
2026-04-13;Gemeinderat;3;25 Jahre Kinder- und Jugendakademie;
2026-04-13;Gemeinderat;4;Wahl des 2. Stellvertreters des Ortsvorstehers im Ortschaftsrat Reute-Gaisbeuren;SV-66/2026
2026-04-13;Gemeinderat;5;Zustimmung zur Wahl des Abteilungskommandanten und seines Stellvertreters der Freiwilligen Feuerwehr, Einsatzabteilung Michelwinnaden;SV-61/2026
2026-04-13;Gemeinderat;6;Vorstellung Zukunftskommune Oberschwaben und Klimaschutzmaßnahmen;SV-269/2025
2026-04-13;Gemeinderat;7;Jahresabschluss 2023 der Stadt Bad Waldsee;SV-71/2026
2026-04-13;Gemeinderat;8;Aktueller Stand Breitbandausbau;SV-70/2026
2026-04-13;Gemeinderat;9;"21. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemarkung Bergatreute – Abwägungs- und Entwurfsbeschluss";SV-17/2026
2026-04-13;Gemeinderat;10;22. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplanes „Feuerwehrgerätehaus Michelwinnaden“, Gemarkung Michelwinnaden – Abwägungs- und Entwurfsbeschluss;SV-16/2026
2026-04-13;Gemeinderat;11;"2. Änderung des Bebauungsplanes ""Sport- und Gesundheitspark Hopfenweiler"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee – Abwägungs- und Satzungsbeschluss";SV-165/2025
2026-04-13;Gemeinderat;12;Neubau Feuerwehrgebäude Michelwinnaden - Durchführungsbeschluss;SV-60/2026
2026-04-13;Gemeinderat;13;Gemeindliches Einvernehmen zu Windenergieanlagen bei Osterhofen;SV-67/2026
2026-04-13;Gemeinderat;14;Verschiedenes;
2026-04-13;Gemeinderat;15;Bekanntgaben;
2026-04-15;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;1;22. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplanes „Feuerwehrgerätehaus Michelwinnaden“, Gemarkung Michelwinnaden – Abwägungs- und Entwurfsbeschluss;SV-16/2026
2026-04-15;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;2;"21. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemarkung Bergatreute – Abwägungs- und Entwurfsbeschluss";SV-17/2026
2026-04-15;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;3;Verschiedenes;
2026-04-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2026-04-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;2;Carlensteichweg - erstmalige, endgültige Herstellung Planungsbeschluss;SV-80/2026
2026-04-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;3;Verschiedenes;
2026-04-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;4;Bekanntgaben;
2026-04-28;Verwaltungsausschuss;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2026-04-28;Verwaltungsausschuss;2;Verschiedenes;
2026-04-28;Verwaltungsausschuss;3;Bekanntgaben;
2026-05-11;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2026-05-11;Gemeinderat;2;Informationen des Oberbürgermeisters;
2026-05-11;Gemeinderat;3;Bericht des Landschaftserhaltungsverband Ravensburg zu Maßnahmen in Bad Waldsee;
2026-05-11;Gemeinderat;4;"Vorhabenbezogener Bebauungsplan ""Friedhofstraße"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Aufstellungsbeschluss";SV-53/2026
2026-05-11;Gemeinderat;5;Gebührenerhöhung - Eintritt Strand- und Freibad;SV-81/2026
2026-05-11;Gemeinderat;6;Neuplanung der Tourist-Information;SV-93/2026
2026-05-11;Gemeinderat;7;Neufassung des Vertrags mit der Katholischen Kirchengemeinde über die Förderung der kirchlichen Kindertagesstätten Gut Beth in Reute und St. Leonhard in Gaisbeuren;SV-74/2026
2026-05-11;Gemeinderat;8;Baumaßnahme Erweiterung Klinik Mayenbad;SV-91/2026
2026-05-11;Gemeinderat;9;Annahme und Vermittlung von Zuwendungen im Rahmen von Geldspenden;SV-76/2026
2026-05-11;Gemeinderat;10;Finanzbericht - 1. Quartal 2026;SV-95/2026
2026-05-11;Gemeinderat;11;Vorläufiges Ergebnis 2025 des Eigenbetriebs Städtische Abwasserbeseitigung;SV-77/2026
2026-05-11;Gemeinderat;12;Annahme einer Zahlung nach § 6 EEG 2023;SV-96/2026
2026-05-11;Gemeinderat;13;Verschiedenes;
2026-05-11;Gemeinderat;14;Bekanntgaben;
2026-06-09;Verwaltungsausschuss;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2026-06-09;Verwaltungsausschuss;2;Abrechnung Stadtsee Aktivweg;SV-106/2026
2026-06-09;Verwaltungsausschuss;3;Vergabe der Schul- und Kindergartenverpflegung;SV-85/2026
2026-06-09;Verwaltungsausschuss;4;Verschiedenes;
2026-06-09;Verwaltungsausschuss;5;Bekanntgaben;
2026-06-29;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2026-06-29;Gemeinderat;2;Informationen des Oberbürgermeisters;
2026-06-29;Gemeinderat;3;Einwohnerfragestunde;
2026-06-29;Gemeinderat;4;Vortrag des Kinderschutzbundes;
2026-06-29;Gemeinderat;5;Betriebsplanung der Forsteinrichtung im Stadtwald Bad Waldsee für die Jahre 2026 - 2035;SV-68/2026
2026-06-29;Gemeinderat;6;Anpassung der Vergnügungssteuersatzung;SV-113/2026
2026-06-29;Gemeinderat;7;Anpassung der Hundesteuersatzung;SV-114/2026
2026-06-29;Gemeinderat;8;Verschiedenes;
2026-06-29;Gemeinderat;9;Bekanntgaben;
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;2;3. Ausschreibungsrunde PV-Anlagen;SV-51/2026
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;3;"1. Änderung des Bebauungsplans ""Biberacher Straße Nord"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee – Abwägungs- und Satzungsbeschluss";SV-101/2026
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;4;"Bebauungsplan ""Feuerwehrgerätehaus Michelwinnaden"" und die örtlichen Bauvorschriften hierzu, Gemarkung Michelwinnaden – Abwägungs- und Satzungsbeschluss";SV-102/2026
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;5;"22. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Feuerwehrgerätehaus Michelwinnaden"", Gemarkung Michelwinnaden - Abwägungs- und Feststellungsbeschluss";SV-103/2026
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;6;"Vorhabenbezogener Bebauungsplan ""Waldseer Straße"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach – Abwägungs- und Satzungsbeschluss";SV-166/2025
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;7;15. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich des Bebauungsplans „Waldseer Straße“, Gemarkung Mittelurbach – Abwägungs- und Feststellungsbeschluss;SV-167/2025
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;8;"21. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemeinde Bergatreute – Abwägungs- und Feststellungsbeschluss";SV-104/2026
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;9;Verschiedenes;
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;10;Bekanntgaben;
2026-07-20;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2026-07-20;Gemeinderat;2;Informationen des Oberbürgermeisters;
2026-07-20;Gemeinderat;3;Ehrungen von Gemeinderäten;
2026-07-20;Gemeinderat;4;"1. Änderung des Bebauungsplans ""Biberacher Straße Nord"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee – Abwägungs- und Satzungsbeschluss";SV-101/2026
2026-07-20;Gemeinderat;5;"Bebauungsplan ""Feuerwehrgerätehaus Michelwinnaden"" und die örtlichen Bauvorschriften hierzu, Gemarkung Michelwinnaden – Abwägungs- und Satzungsbeschluss";SV-102/2026
2026-07-20;Gemeinderat;6;"22. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Feuerwehrgerätehaus Michelwinnaden"", Gemarkung Michelwinnaden - Abwägungs- und Feststellungsbeschluss";SV-103/2026
2026-07-20;Gemeinderat;7;"21. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemeinde Bergatreute – Abwägungs- und Feststellungsbeschluss";SV-104/2026
2026-07-20;Gemeinderat;8;"Vorhabenbezogener Bebauungsplan ""Waldseer Straße"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach – Abwägungs- und Satzungsbeschluss";SV-166/2025
2026-07-20;Gemeinderat;9;15. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich des Bebauungsplans „Waldseer Straße“, Gemarkung Mittelurbach – Abwägungs- und Feststellungsbeschluss;SV-167/2025
2026-07-20;Gemeinderat;10;Steinstraße - Erstmalige, endgültige Herstellung - Planungsbeschluss;SV-130/2026
2026-07-20;Gemeinderat;11;Information über die Fortschreibung der Elternbeiträge in Kindertageseinrichtungen;SV-132/2026
2026-07-20;Gemeinderat;12;Annahme und Vermittlung von Spenden und Sponsoring aus dem 1. Halbjahr 2026;SV-116/2026
2026-07-20;Gemeinderat;13;Verschiedenes;
2026-07-20;Gemeinderat;14;Bekanntgaben;
2026-07-21;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;1;"22. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Feuerwehrgerätehaus Michelwinnaden"", Gemarkung Michelwinnaden - Abwägungs- und Feststellungsbeschluss";SV-103/2026
2026-07-21;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;2;"21. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemeinde Bergatreute – Abwägungs- und Feststellungsbeschluss";SV-104/2026
2026-07-21;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;3;15. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich des Bebauungsplans „Waldseer Straße“, Gemarkung Mittelurbach – Abwägungs- und Feststellungsbeschluss;SV-167/2025
2026-07-21;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;4;Verschiedenes;
