datum;gremium;vorlage;titel;ergebnis;ja;nein;enthaltungen;einstimmig;betrag_euro
2026-02-02;Gemeinderat;SV-2/2026;Vereinbarung zur Kostenübernahme für die Erweiterungsgruppen im Kindergarten St. Maria in Michelwinnaden sowie im Kindergarten St. Leonhard in Gaisbeuren;einstimmig;;;;ja;
2026-02-02;Gemeinderat;SV-279/2025;Anpassung des Abgabepreises für das Mittagessen am Bildungszentrum Döchtbühl und der Durlesbachschule Reute ab dem 01. April 2026;ausgezählt;24;3;0;nein;
2026-02-02;Gemeinderat;SV-1/2026;Information zur Umsetzung des Ganztagsförderungsgesetzes (GaFöG) sowie Festlegung der Betreuungszeiten an den kommunalen Grundschulen und dem SBBZ-L in Bad Waldsee ab dem Schuljahr 2026/2027;einstimmig;;;;ja;
2026-02-02;Gemeinderat;SV-5/2025;"Bebauungsplan ""Drei-Eichen VI"" (Teilbereich B) und die örtlichen Bauvorschriften hierzu, Gemarkung Gaisbeuren - Abwägung und Satzungsbeschluss";ausgezählt;23;0;3;nein;
2026-02-02;Gemeinderat;SV-13/2025;"20. Änderung des Flächennutzungsplans im Teilbereich B des Bebauungsplans (R18) ""Drei-Eichen VI"" der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute, Gemarkung Gaisbeuren - Abwägung und Feststellungsbeschluss";ausgezählt;23;0;3;nein;
2026-02-02;Gemeinderat;SV-27/2026;Bodo-Ringzug: Entscheidung über Projektteilnahme und Finanzierungsanteil;einstimmig;;;;ja;1622098
2026-02-02;Gemeinderat;SV-230/2025;Neubau 2 Feld Sporthalle am Gymnasium Durchführungsbeschluss;einstimmig;;;;ja;9150000
2026-02-02;Gemeinderat;SV-4/2026;tut gut - Magazin. Das neue Magazin der Großen Kreiststadt Bad Waldsee;einstimmig;;;;ja;
2026-02-03;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-13/2025;"20. Änderung des Flächennutzungsplans im Teilbereich B des Bebauungsplans (R18) ""Drei-Eichen VI"" der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute, Gemarkung Gaisbeuren - Abwägung und Feststellungsbeschluss";einstimmig;;;;ja;
2026-03-02;Gemeinderat;SV-250/2025;Sportlerehrung für das Jahr 2025 und Anpassung der Ehrungsordnung für Sportler;einstimmig;;;;ja;
2026-03-02;Gemeinderat;SV-36/2026;Förderung einer weiteren Großtagespflegestelle im Gebäude Biberacher Straße 24;einstimmig;;;;ja;
2026-03-02;Gemeinderat;SV-9/2026;Annahme und Vermittlung von Spenden und Sponsoring aus dem 2. Halbjahr 2025;einstimmig;;;;ja;
2026-03-02;Gemeinderat;SV-42/2026;Gemeindliches Einvernehmen zu Windenergieanlagen zwischen Oberurbach und Hittisweiler;ausgezählt;21;4;1;nein;
2026-03-02;Gemeinderat;SV-49/2026;Sanierungsgebiet „Altstadt III“ – 4. Änderungssatzung zur Teilaufhebung des Sanierungsgebietes;einstimmig;;;;ja;
2026-03-23;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-165/2025;"2. Änderung des Bebauungsplanes ""Sport- und Gesundheitspark Hopfenweiler"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee – Abwägungs- und Satzungsbeschluss";ausgezählt;12;0;2;nein;
2026-03-23;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-276/2025;Anreizprogramme Klimaschutz 2026;ausgezählt;12;0;2;nein;
2026-03-23;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-18/2026;"1. Änderung des Bebauungsplans ""Biberacher Straße Nord"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee – Abwägungs- und Entwurfsbeschluss";einstimmig;;;;ja;
2026-03-23;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-14/2026;"Bebauungsplan ""Feuerwehrgerätehaus Michelwinnaden"" und die örtlichen Bauvorschriften hierzu, Gemarkung Michelwinnaden – Abwägungs- und Entwurfsbeschluss";einstimmig;;;;ja;
2026-03-23;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-16/2026;22. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplanes „Feuerwehrgerätehaus Michelwinnaden“, Gemarkung Michelwinnaden – Abwägungs- und Entwurfsbeschluss;einstimmig;;;;ja;
2026-03-23;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-17/2026;"21. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemarkung Bergatreute – Abwägungs- und Entwurfsbeschluss";ausgezählt;12;0;2;nein;
2026-03-24;Verwaltungsausschuss;SV-31/2026;Gewährung eines Zuschusses an den Kinderschutzbund;einstimmig;;;;ja;
2026-04-13;Gemeinderat;SV-66/2026;Wahl des 2. Stellvertreters des Ortsvorstehers im Ortschaftsrat Reute-Gaisbeuren;einstimmig;;;;ja;
2026-04-13;Gemeinderat;SV-61/2026;Zustimmung zur Wahl des Abteilungskommandanten und seines Stellvertreters der Freiwilligen Feuerwehr, Einsatzabteilung Michelwinnaden;einstimmig;;;;ja;
2026-04-13;Gemeinderat;SV-269/2025;Vorstellung Zukunftskommune Oberschwaben und Klimaschutzmaßnahmen;einstimmig;;;;ja;
2026-04-13;Gemeinderat;SV-71/2026;Jahresabschluss 2023 der Stadt Bad Waldsee;einstimmig;;;;ja;
2026-04-13;Gemeinderat;SV-17/2026;"21. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemarkung Bergatreute – Abwägungs- und Entwurfsbeschluss";einstimmig;;;;ja;
2026-04-13;Gemeinderat;SV-16/2026;22. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplanes „Feuerwehrgerätehaus Michelwinnaden“, Gemarkung Michelwinnaden – Abwägungs- und Entwurfsbeschluss;einstimmig;;;;ja;
2026-04-13;Gemeinderat;SV-165/2025;"2. Änderung des Bebauungsplanes ""Sport- und Gesundheitspark Hopfenweiler"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee – Abwägungs- und Satzungsbeschluss";ausgezählt;24;0;2;nein;
2026-04-13;Gemeinderat;SV-60/2026;Neubau Feuerwehrgebäude Michelwinnaden - Durchführungsbeschluss;einstimmig;;;;ja;1620000
2026-04-13;Gemeinderat;SV-67/2026;Gemeindliches Einvernehmen zu Windenergieanlagen bei Osterhofen;ausgezählt;19;5;1;nein;
2026-04-15;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-16/2026;22. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplanes „Feuerwehrgerätehaus Michelwinnaden“, Gemarkung Michelwinnaden – Abwägungs- und Entwurfsbeschluss;einstimmig;;;;ja;
2026-04-15;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-17/2026;"21. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemarkung Bergatreute – Abwägungs- und Entwurfsbeschluss";einstimmig;;;;ja;
2026-04-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-80/2026;Carlensteichweg - erstmalige, endgültige Herstellung Planungsbeschluss;einstimmig;;;;ja;
2026-05-11;Gemeinderat;SV-53/2026;"Vorhabenbezogener Bebauungsplan ""Friedhofstraße"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Aufstellungsbeschluss";ausgezählt;24;0;3;nein;
2026-05-11;Gemeinderat;SV-81/2026;Gebührenerhöhung - Eintritt Strand- und Freibad;einstimmig;;;;ja;
2026-05-11;Gemeinderat;SV-74/2026;Neufassung des Vertrags mit der Katholischen Kirchengemeinde über die Förderung der kirchlichen Kindertagesstätten Gut Beth in Reute und St. Leonhard in Gaisbeuren;einstimmig;;;;ja;
2026-05-11;Gemeinderat;SV-91/2026;Baumaßnahme Erweiterung Klinik Mayenbad;einstimmig;;;;ja;
2026-05-11;Gemeinderat;SV-76/2026;Annahme und Vermittlung von Zuwendungen im Rahmen von Geldspenden;einstimmig;;;;ja;
2026-05-11;Gemeinderat;SV-96/2026;Annahme einer Zahlung nach § 6 EEG 2023;einstimmig;;;;ja;
2026-06-09;Verwaltungsausschuss;SV-106/2026;Abrechnung Stadtsee Aktivweg;einstimmig;;;;ja;
2026-06-09;Verwaltungsausschuss;SV-85/2026;Vergabe der Schul- und Kindergartenverpflegung;einstimmig;;;;ja;
2026-06-29;Gemeinderat;SV-68/2026;Betriebsplanung der Forsteinrichtung im Stadtwald Bad Waldsee für die Jahre 2026 - 2035;einstimmig;;;;ja;
2026-06-29;Gemeinderat;SV-113/2026;Anpassung der Vergnügungssteuersatzung;einstimmig;;;;ja;
2026-06-29;Gemeinderat;SV-114/2026;Anpassung der Hundesteuersatzung;ausgezählt;1;17;4;nein;
2026-06-29;Gemeinderat;SV-114/2026;Anpassung der Hundesteuersatzung;ausgezählt;21;1;0;nein;
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-51/2026;3. Ausschreibungsrunde PV-Anlagen;einstimmig;;;;ja;
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-101/2026;"1. Änderung des Bebauungsplans ""Biberacher Straße Nord"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee – Abwägungs- und Satzungsbeschluss";einstimmig;;;;ja;
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-102/2026;"Bebauungsplan ""Feuerwehrgerätehaus Michelwinnaden"" und die örtlichen Bauvorschriften hierzu, Gemarkung Michelwinnaden – Abwägungs- und Satzungsbeschluss";einstimmig;;;;ja;
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-103/2026;"22. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Feuerwehrgerätehaus Michelwinnaden"", Gemarkung Michelwinnaden - Abwägungs- und Feststellungsbeschluss";einstimmig;;;;ja;
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-166/2025;"Vorhabenbezogener Bebauungsplan ""Waldseer Straße"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach – Abwägungs- und Satzungsbeschluss";einstimmig;;;;ja;
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-167/2025;15. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich des Bebauungsplans „Waldseer Straße“, Gemarkung Mittelurbach – Abwägungs- und Feststellungsbeschluss;einstimmig;;;;ja;
2026-07-06;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-104/2026;"21. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemeinde Bergatreute – Abwägungs- und Feststellungsbeschluss";ausgezählt;11;0;1;nein;
2026-07-20;Gemeinderat;SV-101/2026;"1. Änderung des Bebauungsplans ""Biberacher Straße Nord"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee – Abwägungs- und Satzungsbeschluss";einstimmig;;;;ja;
2026-07-20;Gemeinderat;SV-102/2026;"Bebauungsplan ""Feuerwehrgerätehaus Michelwinnaden"" und die örtlichen Bauvorschriften hierzu, Gemarkung Michelwinnaden – Abwägungs- und Satzungsbeschluss";einstimmig;;;;ja;
2026-07-20;Gemeinderat;SV-103/2026;"22. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Feuerwehrgerätehaus Michelwinnaden"", Gemarkung Michelwinnaden - Abwägungs- und Feststellungsbeschluss";einstimmig;;;;ja;
2026-07-20;Gemeinderat;SV-104/2026;"21. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemeinde Bergatreute – Abwägungs- und Feststellungsbeschluss";ausgezählt;25;0;1;nein;
2026-07-20;Gemeinderat;SV-166/2025;"Vorhabenbezogener Bebauungsplan ""Waldseer Straße"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach – Abwägungs- und Satzungsbeschluss";einstimmig;;;;ja;
2026-07-20;Gemeinderat;SV-167/2025;15. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich des Bebauungsplans „Waldseer Straße“, Gemarkung Mittelurbach – Abwägungs- und Feststellungsbeschluss;einstimmig;;;;ja;
2026-07-20;Gemeinderat;SV-130/2026;Steinstraße - Erstmalige, endgültige Herstellung - Planungsbeschluss;einstimmig;;;;ja;
2026-07-20;Gemeinderat;SV-116/2026;Annahme und Vermittlung von Spenden und Sponsoring aus dem 1. Halbjahr 2026;einstimmig;;;;ja;
2026-07-21;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-103/2026;"22. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Feuerwehrgerätehaus Michelwinnaden"", Gemarkung Michelwinnaden - Abwägungs- und Feststellungsbeschluss";einstimmig;;;;ja;
2026-07-21;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-104/2026;"21. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich des Bebauungsplans ""Lohbühl I - Erweiterung"", Gemeinde Bergatreute – Abwägungs- und Feststellungsbeschluss";einstimmig;;;;ja;
2026-07-21;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-167/2025;15. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich des Bebauungsplans „Waldseer Straße“, Gemarkung Mittelurbach – Abwägungs- und Feststellungsbeschluss;einstimmig;;;;ja;
